Date,Rocket-TVL,market_cap
8/27/2023,1700779494,447695340.8
8/28/2023,1718028010,450651488.7
8/29/2023,1720851666,449939479.5
8/30/2023,1800339180,469872457.9
8/31/2023,1784058901,469293082.5
9/1/2023,1725706138,441796896.9
9/2/2023,1719619130,436252595.5
9/3/2023,1721230647,434568559.4
9/4/2023,1722370382,433507101.8
9/5/2023,1736765129,471172544.1
9/6/2023,1741361254,456044731.9
9/7/2023,1746232751,452658325.1
9/8/2023,1764140532,465272983.3
9/9/2023,1748471836,457471591.1
9/10/2023,1748114714,461582292.6
9/11/2023,1731534252,451432998.4
9/12/2023,1657507409,424197577
9/13/2023,1703806071,435067754.2
9/14/2023,1713881138,431104220.4
9/15/2023,1733002092,436931623.1
9/16/2023,1757893480,439233750.5
9/17/2023,1747239090,453578714.3
9/18/2023,1733917407,444150413.5
9/19/2023,1748289421,444914882.5
9/20/2023,1758018799,442070646.2
9/21/2023,1736427135,430154639.8
9/22/2023,1695484977,412876465.1
9/23/2023,1711609022,414828676.6
9/24/2023,1713088886,424291976.6
9/25/2023,1692378829,419674249
9/26/2023,1712208702,427543771.2
9/27/2023,1720993039,425212680.8
9/28/2023,1734615724,431147312.5
9/29/2023,1789979920,435525350.8
9/30/2023,1799487897,431713727.8
10/1/2023,1809155833,435556838.1
10/2/2023,1872848554,457062084.5
10/3/2023,1801223234,434551999.2
10/4/2023,1777683983,420659190.4
10/5/2023,1777354650,415636762.5
10/6/2023,1743660321,401035006.7
10/7/2023,1776284907,404041545.7
10/8/2023,1766730279,398923624.9
10/9/2023,1762469399,397420738.1
10/10/2023,1713184280,385284930.6
10/11/2023,1701049774,382426092.9
10/12/2023,1703686912,383205670.2
10/13/2023,1672582537,363622957.3
10/14/2023,1680534675,346814602.9
10/15/2023,1713751560,398558586.1
10/16/2023,1708624677,385661778.1
10/17/2023,1746275382,381709676.5
10/18/2023,1713836453,376709734.7
10/19/2023,1715931734,374949038.5
10/20/2023,1711228594,363613474.1
10/21/2023,1762183251,383722481.5
10/22/2023,1790069648,381010568.3
10/23/2023,1821940472,397958518.3
10/24/2023,1959515067,447150314.1
10/25/2023,1976196886,453107587
10/26/2023,2009878562,501317839.1
10/27/2023,2011406128,488259035.5
10/28/2023,1996911098,475584573.5
10/29/2023,1986149861,461131287.9
10/30/2023,1998626828,470186409.9
10/31/2023,2060181010,468000685
11/1/2023,2048201817,463063659.6
11/2/2023,2083262112,474735331.9
11/3/2023,2019045473,461711934.4
11/4/2023,2084834808,468661223.4
11/5/2023,2139373305,479053048.5
11/6/2023,2134124163,504617241.2
11/7/2023,2156927956,508235740.1
11/8/2023,2152107544,517040859.4
11/9/2023,2169258488,530235388.4
11/10/2023,2446917967,646301570.8
11/11/2023,2411585048,633228218.6
11/12/2023,2376210639,616067886.7
11/13/2023,2371171794,611703919.2
11/14/2023,2357655844,599606427.6
11/15/2023,2306015418,564755256.5
11/16/2023,2390985310,589088491.7
11/17/2023,2279990842,553983374.1
11/18/2023,2267522650,547106341.4
11/19/2023,2286793059,553636151.6
11/20/2023,2332531087,557876413.8
11/21/2023,2360719469,552531239.6
11/22/2023,2250229599,511589272.5
11/23/2023,2406259285,571312422.5
11/24/2023,2405601486,568320991.4
11/25/2023,2426853663,566016309.2
11/26/2023,2431885222,571531345.6
11/27/2023,2408973170,547282796.8
11/28/2023,2364960802,536360367.1
11/29/2023,2396633069,550082156.6
11/30/2023,2372189957,542083546.3
12/1/2023,2393281776,538443898.4
12/2/2023,2431318151,541054674.7
12/3/2023,2520670201,560115400.5
12/4/2023,2567878391,590094471.1
12/5/2023,2635108803,626508720.4
12/6/2023,2685990115,617740634.7
12/7/2023,2606027651,581592472.1
12/8/2023,2753693366,611546599.2
12/9/2023,2766001192,623469978.3
12/10/2023,2741373711,606151405.2
12/11/2023,2748320046,608298044.4
12/12/2023,2599703271,558661200.3
12/13/2023,2568290431,552373789.7
12/14/2023,2635354942,553080177.2
12/15/2023,2711301437,561999687.4
12/16/2023,2602647661,534157059.8
12/17/2023,2617621866,543864724.5
12/18/2023,2590502435,532714555.9
12/19/2023,2618602494,531395182.1
12/20/2023,2574203853,517820995.5
12/21/2023,2595629364,533563685.2
12/22/2023,2639516227,545692300.7
12/23/2023,2755624046,579512997.3
12/24/2023,2733601809,561142279.8
12/25/2023,2706807520,552414519.5
12/26/2023,2735786484,582257425.6
12/27/2023,2688396839,574952704.9
12/28/2023,2903820092,648581421.5
12/29/2023,2835780049,627195681.6
12/30/2023,2795413427,625126193
12/31/2023,2789990706,608676067.4
1/1/2024,2777811345,601304389.8
1/2/2024,2872544371,621076967.6
1/3/2024,2872508660,606826342.8
1/4/2024,2693602400,564898972.8
1/5/2024,2756184767,568390744.3
1/6/2024,2779303081,600809308.2
1/7/2024,2745342351,583751458.1
1/8/2024,2701490542,551769275
1/9/2024,2811052969,569927609.2
1/10/2024,2853566567,586289061.1
1/11/2024,3209000882,717938180.3
1/12/2024,3227081714,731228499.9
1/13/2024,3124438409,684573695.3
1/14/2024,3185407662,700342962.7
1/15/2024,3101345751,668132772.3
1/16/2024,3144866472,681040898.6
1/17/2024,3214971623,710416391
1/18/2024,3131220153,673518552.2
1/19/2024,3040636252,625177566.5
1/20/2024,3061659644,603939097.8
1/21/2024,3052002156,612192463.8
1/22/2024,3052808561,604344958.6
1/23/2024,2859522044,582039304.3
1/24/2024,2762093099,552192501
1/25/2024,2767779162,571223806.2
1/26/2024,2743022240,565901221.5
1/27/2024,2820498735,594160985.2
1/28/2024,2822366019,597348356
1/29/2024,2801506402,584349121
1/30/2024,2876548134,594415899.2
1/31/2024,2910554392,598623445.4
2/1/2024,2827535091,575081810.5
2/2/2024,2849726974,575213041.7
2/3/2024,2858789618,564396608.3
2/4/2024,2842500793,553066305
2/5/2024,2832783141,553911686.9
2/6/2024,2844464596,550414798.6
2/7/2024,2949170490,572397309.6
2/8/2024,3008511528,579083178.7
2/9/2024,3003297386,588527611.6
2/10/2024,3093295310,607918107.8
2/11/2024,3089389953,587315898.8
2/12/2024,3078105405,571867748.1
2/13/2024,3282409262,581931748.5
2/14/2024,3248807121,591297622.2
2/15/2024,3417298397,640584171.3
2/16/2024,3487080281,650570006
2/17/2024,3454272756,642915232.3
2/18/2024,3430810297,621466693.5
2/19/2024,3538376616,611474856.6
2/20/2024,3629084325,611429318.1
2/21/2024,3682134023,595509133.5
2/22/2024,3621305806,560816992.5
2/23/2024,3640315258,560363461.1
2/24/2024,3570334860,556049127.2
2/25/2024,3649593346,579550222.7
2/26/2024,3829345320,616204467.9
2/27/2024,3892417270,629597711.1
2/28/2024,3976048739,622412440.3
2/29/2024,4121219793,637137810.8
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
