snapped_at,price,market_cap,total_volume
2022-06-02,16.955252696798805,275106830.24493414,613772.3236016305
2022-06-03,17.691793236028293,286685637.2970686,936105.6923161808
2022-06-04,16.73491218710305,270631865.45959646,587667.708368786
2022-06-05,16.911752760783443,273380435.6587665,1163431.8164620248
2022-06-06,16.41075843953413,266062898.17207655,945457.507697094
2022-06-07,16.65061685019495,269684553.9972424,981115.3087062236
2022-06-08,15.75848373428676,256652861.1959504,841630.6247751497
2022-06-09,16.088492666146564,260501671.64020452,674266.9243672114
2022-06-10,15.93347804644427,257982850.7792152,592392.1983374174
2022-06-11,14.331675474150748,232055637.2740296,702957.3669149932
2022-06-12,12.95225957311085,209933260.056313,839115.9966688289
2022-06-13,11.421087596223058,185658681.10283157,550584.6881262744
2022-06-14,9.610089025764667,154551028.31256053,574604.4802298041
2022-06-15,9.42157999827952,152292672.4001662,562338.7923399678
2022-06-16,10.033232215288043,162109801.1140688,486544.5184271133
2022-06-17,8.820126585161514,142872166.53336224,469449.53979871713
2022-06-18,8.936810785325148,144667530.25293505,388307.9870823686
2022-06-19,8.028776892598218,129734223.54585208,365195.8723113413
2022-06-20,9.071901327419656,146962603.96241555,326861.9190782967
2022-06-21,9.443186648951173,152459459.05971453,475386.3438846748
2022-06-22,9.786833991168576,158694275.31797713,554914.7146801361
2022-06-23,9.142350970940509,148311285.0214269,470174.3471664169
2022-06-24,9.884359397126811,160191224.5629557,295315.7027248791
2022-06-25,11.210785202420045,182631500.68915468,521551.287697318
2022-06-26,11.764140783214843,190261773.5320107,503118.1412305273
2022-06-27,11.464881364291816,186105006.68787903,529686.9254281285
2022-06-28,11.359011686669993,183860216.59326532,412245.850035738
2022-06-29,10.52409674385769,170974488.0720712,397909.4901917304
2022-06-30,10.35497189609158,167720130.09852296,381936.3931934979
2022-07-01,10.345981410638885,164025260.66011348,689035.1863755152
2022-07-02,10.602973030297536,171591699.50206664,420617.1149192568
2022-07-03,10.82485343363746,175580231.87319404,427525.9604035695
2022-07-04,10.918762682608476,176928518.75632858,426979.4773889192
2022-07-05,11.529411841376836,186127286.08998385,3057132.796944305
2022-07-06,11.13422946182698,180386012.7362403,4821128.935405321
2022-07-07,11.57209510646062,187312935.65990743,1636639.2447040912
2022-07-08,12.069022275397217,195539652.83986595,401352.2190296835
2022-07-09,12.090470479312396,195821072.19458732,377250.76307757216
2022-07-10,12.357615678687395,199933528.63031867,550689.0253133193
2022-07-11,11.71793441014056,190089996.8239011,321027.8791610346
2022-07-12,11.03345245553806,178490066.65352908,199710.19363272632
2022-07-13,10.643149824199572,172172240.59831837,336434.4460815041
2022-07-14,11.439833341057696,184956810.75199524,608765.1250080222
2022-07-15,12.332274845258056,199560746.61530763,386286.2927382616
