,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,01/02/2022,1643673600,3324298079.1609516,,,4832265729.773805,195632891.28119186,8352196700.215948,3324298079.1609516,,,,4832265729.773805,,195632891.28119186,,3324298079.1609516,4832265729.773805,195632891.28119186,,,,64877011.693227,,,,1796428.059382142,,1946015.033136296,,64877011.693227,1796428.059382142,1946015.033136296,,,
,02/02/2022,1643760000,3375255688.8313785,,,5030217637.264362,221182242.0410794,8626655568.13682,3375255688.8313785,,,,5030217637.264362,,221182242.0410794,,3375255688.8313785,5030217637.264362,221182242.0410794,,,,64871337.475137,,,,1797822.5619701433,,2005460.53169897,,64871337.475137,1797822.5619701433,2005460.53169897,,,
,03/02/2022,1643846400,3090522334.6699853,,,4843291471.039154,203562535.17644474,8137376340.885584,3090522334.6699853,,,,4843291471.039154,,203562535.17644474,,3090522334.6699853,4843291471.039154,203562535.17644474,,,,64899671.034649,,,,1800045.1456113409,,2000024.908395016,,64899671.034649,1800045.1456113409,2000024.908395016,,,
,04/02/2022,1643932800,3299511239.796356,,,4843844785.621502,200116366.11433032,8343472391.532188,3299511239.796356,,,,4843844785.621502,,200116366.11433032,,3299511239.796356,4843844785.621502,200116366.11433032,,,,64569691.581142,,,,1802146.2693266296,,1978803.185151096,,64569691.581142,1802146.2693266296,1978803.185151096,,,
,05/02/2022,1644019200,3441585166.7925644,,,5398931944.489123,221638364.58534,9062155475.86703,3441585166.7925644,,,,5398931944.489123,,221638364.58534,,3441585166.7925644,5398931944.489123,221638364.58534,,,,64667139.548902,,,,1818587.602354231,,1977677.920811457,,64667139.548902,1818587.602354231,1977677.920811457,,,
,06/02/2022,1644105600,3613814528.5631514,,,5512608455.214857,229080485.61586893,9355503469.393877,3613814528.5631514,,,,5512608455.214857,,229080485.61586893,,3613814528.5631514,5512608455.214857,229080485.61586893,,,,64659411.854771,,,,1821218.0381167596,,2000353.524413805,,64659411.854771,1821218.0381167596,2000353.524413805,,,
,07/02/2022,1644192000,3604748243.4627676,,,5589328644.696617,231780816.16502687,9425857704.324413,3604748243.4627676,,,,5589328644.696617,,231780816.16502687,,3604748243.4627676,5589328644.696617,231780816.16502687,,,,64428029.373776,,,,1825551.8612729504,,2011462.433090574,,64428029.373776,1825551.8612729504,2011462.433090574,,,
,08/02/2022,1644278400,3854541004.1554794,,,5756371278.7361,238181370.0068019,9849093652.89838,3854541004.1554794,,,,5756371278.7361,,238181370.0068019,,3854541004.1554794,5756371278.7361,238181370.0068019,,,,64565175.949003,,,,1829975.6099745997,,2024146.936405217,,64565175.949003,1829975.6099745997,2024146.936405217,,,
,09/02/2022,1644364800,3704512557.396174,,,5747489509.364791,232038104.70500195,9684040171.465967,3704512557.396174,,,,5747489509.364791,,232038104.70500195,,3704512557.396174,5747489509.364791,232038104.70500195,,,,64572294.882276,,,,1839738.2619410485,,2028482.425955083,,64572294.882276,1839738.2619410485,2028482.425955083,,,
,10/02/2022,1644451200,3663720928.557226,,,5973983110.569378,229797745.65305254,9867501784.779657,3663720928.557226,,,,5973983110.569378,,229797745.65305254,,3663720928.557226,5973983110.569378,229797745.65305254,,,,63939283.220894,,,,1842582.1856187435,,2010127.236293322,,63939283.220894,1842582.1856187435,2010127.236293322,,,
,11/02/2022,1644537600,3336087016.5566087,,,5771786982.449202,215916421.8651814,9323790420.87099,3336087016.5566087,,,,5771786982.449202,,215916421.8651814,,3336087016.5566087,5771786982.449202,215916421.8651814,,,,63873004.337672,,,,1850975.8653757253,,2026432.86593319,,63873004.337672,1850975.8653757256,2026432.86593319,,,
,12/02/2022,1644624000,3235966807.7848988,,,5436411447.70961,196675985.14880297,8869054240.64331,3235966807.7848988,,,,5436411447.70961,,196675985.14880297,,3235966807.7848988,5436411447.709609,196675985.14880297,,,,63863564.392834,,,,1858538.664561762,,2041689.869706249,,63863564.392834,1858538.6645617618,2041689.869706249,,,
,13/02/2022,1644710400,3286946656.363448,,,5426514933.056999,195135468.5387264,8908597057.959175,3286946656.363448,,,,5426514933.056999,,195135468.5387264,,3286946656.363448,5426514933.056999,195135468.5387264,,,,63210512.622374,,,,1860313.1766159637,,2043303.335484046,,63210512.622374,1860313.1766159637,2043303.335484046,,,
,14/02/2022,1644796800,3282194808.956002,,,5392404902.482872,193900360.21065214,8868500071.649525,3282194808.956002,,,,5392404902.482872,,193900360.21065214,,3282194808.956002,5392404902.482872,193900360.21065214,,,,63265127.389283,,,,1868664.4150406737,,2076465.626586551,,63265127.389283,1868664.4150406737,2076465.626586551,,,
,15/02/2022,1644883200,3416752111.961101,,,5491568754.387255,200956501.0611755,9109277367.409533,3416752111.961101,,,,5491568754.387255,,200956501.0611755,,3416752111.961101,5491568754.387255,200956501.0611755,,,,63320091.029672,,,,1871400.544012123,,2084611.006858667,,63320091.029672,1871400.544012123,2084611.006858667,,,
,16/02/2022,1644969600,3573343661.328639,,,5972866800.521769,218421583.67858136,9764632045.528988,3573343661.328639,,,,5972866800.521769,,218421583.67858136,,3573343661.328639,5972866800.521769,218421583.67858136,,,,62910979.952969,,,,1876318.777278152,,2076250.795423777,,62910979.952969,1876318.777278152,2076250.795423777,,,
,17/02/2022,1645056000,4652893176.791348,,,5911446787.16558,212652742.8310704,10776992706.787998,4652893176.791348,,,,5911446787.16558,,212652742.8310704,,4652893176.791348,5911446787.16558,212652742.8310704,,,,82322950.757101,,,,1881332.2005135259,,2075268.301269351,,82322950.757101,1881332.2005135259,2075268.301269351,,,
,18/02/2022,1645142400,4203582339.379751,,,5450046373.464681,195552674.73380008,9849181387.578234,4203582339.379751,,,,5450046373.464681,,195552674.73380008,,4203582339.379751,5450046373.464681,195552674.73380008,,,,82310208.329347,,,,1891733.4981376757,,2089907.820175271,,82310208.329347,1891733.4981376755,2089907.820175271,,,
,19/02/2022,1645228800,4153640528.542336,,,5288810943.783948,193318615.7031409,9635770088.029425,4153640528.542336,,,,5288810943.783948,,193318615.7031409,,4153640528.542336,5288810943.783948,193318615.7031409,,,,81732399.22358,,,,1896576.0517906584,,2143697.224474838,,81732399.22358,1896576.0517906584,2143697.224474838,,,
,20/02/2022,1645315200,4128924437.8800607,,,5242934534.096253,196668363.74200806,9568527335.718323,4128924437.8800607,,,,5242934534.096253,,196668363.74200806,,4128924437.8800607,5242934534.096253,196668363.74200806,,,,81760879.958021,,,,1901101.7804137487,,2151497.251307385,,81760879.958021,1901101.7804137487,2151497.251307385,,,
,21/02/2022,1645401600,4054229625.178632,,,5032710704.87876,197080030.20149717,9284020360.25889,4054229625.178632,,,,5032710704.87876,,197080030.20149717,,4054229625.178632,5032710704.87876,197080030.20149717,,,,81986443.380761,,,,1903777.02054017,,2157889.304735543,,81986443.380761,1903777.02054017,2157889.304735543,,,
,22/02/2022,1645488000,4079073873.158322,,,4917021181.440761,180359994.70518547,9176455049.304268,4079073873.158322,,,,4917021181.440761,,180359994.70518547,,4079073873.158322,4917021181.440761,180359994.70518547,,,,81143303.623599,,,,1906435.473986112,,2160258.65019985,,81143303.623599,1906435.473986112,2160258.65019985,,,
,23/02/2022,1645574400,4335042184.24158,,,5056001870.417684,188437965.5299893,9579482020.189253,4335042184.24158,,,,5056001870.417684,,188437965.5299893,,4335042184.24158,5056001870.417684,188437965.5299893,,,,81210981.345852,,,,1938353.7304162257,,2175706.795173644,,81210981.345852,1938353.7304162257,2175706.795173644,,,
,24/02/2022,1645660800,4873500585.441574,,,5111905781.906112,197978403.11675337,10183384770.46444,4873500585.441574,,,,5111905781.906112,,197978403.11675337,,4873500585.441574,5111905781.906112,197978403.11675337,,,,81306316.073433,,,,1968798.2029016858,,2319878.171042341,,81306316.073433,1968798.2029016858,2319878.171042341,,,
,25/02/2022,1645747200,5240425701.262834,,,5124617769.52285,205741186.00914085,10570784656.794823,5240425701.262834,,,,5124617769.52285,,205741186.00914085,,5240425701.262834,5124617769.52285,205741186.00914085,,,,80263833.684528,,,,1972835.5011848868,,2310400.741259302,,80263833.684528,1972835.5011848866,2310400.741259302,,,
,26/02/2022,1645833600,5857261824.418505,,,5477363111.771988,214863308.7070943,11549488244.897587,5857261824.418505,,,,5477363111.771988,,214863308.7070943,,5857261824.418505,5477363111.771988,214863308.7070943,,,,80313476.27065,,,,1975761.146699463,,2314339.818042808,,80313476.27065,1975761.146699463,2314339.818042808,,,
,27/02/2022,1645920000,6360846155.116357,,,5515865729.979498,208944353.29882964,12085656238.394686,6360846155.116357,,,,5515865729.979498,,208944353.29882964,,6360846155.116357,5515865729.979498,208944353.29882964,,,,80405083.492812,,,,1984966.9032105345,,2318255.334503824,,80405083.492812,1984966.9032105345,2318255.334503824,,,
,28/02/2022,1646006400,5755645688.399423,,,5224654908.56181,198205226.27177092,11178505823.233002,5755645688.399423,,,,5224654908.56181,,198205226.27177092,,5755645688.399423,5224654908.561809,198205226.27177092,,,,79475913.951939,,,,1988761.2942692519,,2315481.615324427,,79475913.951939,1988761.2942692516,2315481.615324427,,,
,01/03/2022,1646092800,7676349771.197835,,,5920136684.369744,229277391.22613838,13825763846.793716,7676349771.197835,,,,5920136684.369744,,229277391.22613838,,7676349771.197835,5920136684.369743,229277391.22613838,,,,85511304.123848,,,,2009926.0501348672,,2324149.936402822,,85511304.123848,2009926.050134867,2324149.936402822,,,
,02/03/2022,1646179200,7746400444.956545,,,5966623954.470165,233505094.84474057,13946529494.27145,7746400444.956545,,,,5966623954.470165,,233505094.84474057,,7746400444.956545,5966623954.470165,233505094.84474057,,,,85699750.469704,,,,2031516.1760248158,,2360783.488471748,,85699750.469704,2031516.1760248158,2360783.488471748,,,
,03/03/2022,1646265600,7758158573.767654,,,6042773007.756786,235061037.19009694,14035992618.714539,7758158573.767654,,,,6042773007.756786,,235061037.19009694,,7758158573.767654,6042773007.756786,235061037.19009694,,,,83718124.244822,,,,2039892.3160236254,,2339381.341461952,,83718124.244822,2039892.3160236254,2339381.341461952,,,
,04/03/2022,1646352000,7628291307.536155,1354427.0288100154,,5709021083.317499,218025257.1872397,13556692075.069702,7628291307.536155,1354427.0288100154,,,5708716319.79772,304763.51977940026,218025257.1872397,,7628291307.536155,5708716319.79772,218025257.1872397,1354427.0288100154,304763.51977940026,,83314671.336131,10367.628818202813,,,2076606.6654775522,195361.23062782068,2337821.75838773,,83314671.336131,2076606.6654775522,2337821.75838773,10367.628818202813,195361.23062782068,
,05/03/2022,1646438400,6836703898.58479,1229644.7064787426,,5439419299.3184805,202711755.81505153,12480064598.4248,6836703898.58479,1229644.7064787426,,,5439131894.698511,287404.6199690935,202711755.81505153,,6836703898.58479,5439131894.698511,202711755.81505153,1229644.7064787426,287404.6199690935,,83313476.707102,10429.556458683144,,,2081470.3858600107,196852.47943088596,2334582.008695745,,83313476.707102,2081470.3858600107,2334582.008695745,10429.556458683144,196852.47943088596,
,06/03/2022,1646524800,7218922602.406021,1297391.354984307,,5600876841.201839,212445822.10283938,13033542657.065683,7218922602.406021,1297391.354984307,,,5600216511.276072,660329.9257677005,212445822.10283938,,7218922602.406021,5600216511.276072,212445822.10283938,1297391.354984307,660329.9257677005,,82445438.583897,10500.941764340809,,,2095701.1762701224,434427.58274190826,2369460.429431624,,82445438.583897,2095701.1762701224,2369460.429431624,10500.941764340809,434427.58274190826,
,07/03/2022,1646611200,6555346230.675424,1253591.0772908689,,5358189735.889229,205915630.92045838,12120705188.562403,6555346230.675424,1253591.0772908689,,,5357539193.269566,650542.6196632097,205915630.92045838,,6555346230.675424,5357539193.269566,205915630.92045838,1253591.0772908689,650542.6196632097,,82477934.457416,10555.66754202483,,,2109558.086062869,454924.9088553914,2431691.437416844,,82477934.457416,2109558.086062869,2431691.437416844,10555.66754202483,454924.9088553914,
,08/03/2022,1646697600,6604462517.255314,1294199.0341668252,,5372385122.262545,201570714.55152053,12179712553.103546,6604462517.255314,1294199.0341668252,,,5371672553.633413,712568.6291313741,201570714.55152053,,6604462517.255314,5371672553.633413,201570714.55152053,1294199.0341668252,712568.6291313741,,82638419.885577,10564.027705222636,,,2130424.069720281,498299.7406513106,2441505.747959309,,82638419.885577,2130424.069720281,2441505.747959309,10564.027705222636,498299.7406513106,
,09/03/2022,1646784000,7689350598.170478,1350939.0843905068,,5596563296.555503,203642215.82062235,13490907049.630993,7689350598.170478,1350939.0843905068,,,5595749202.038392,814094.5171105476,203642215.82062235,,7689350598.170478,5595749202.038392,203642215.82062235,1350939.0843905068,814094.5171105476,,87657895.555979,10830.907435184052,,,2168079.9087313656,561444.4945589984,2454703.662254368,,87657895.555979,2168079.9087313656,2454703.662254368,10830.907435184052,561444.4945589984,
,10/03/2022,1646870400,8725128791.094671,1479974.7299754205,,6017631284.505212,219249323.37103075,14963489373.700888,8725128791.094671,1479974.7299754205,,,6016719026.648664,912257.856547689,219249323.37103075,,8725128791.094671,6016719026.648664,219249323.37103075,1479974.7299754205,912257.856547689,,87645693.53184,10974.970188916726,,,2205897.955186564,604144.2758593967,2493169.472038103,,87645693.53184,2205897.955186564,2493169.472038103,10974.970188916726,604144.2758593967,
,11/03/2022,1646956800,8430952462.105298,1432815.2576059878,,5699389272.748599,205446552.40341714,14337221102.51492,8430952462.105298,1432815.2576059878,,,5698503523.58222,885749.1663793258,205446552.40341714,,8430952462.105298,5698503523.58222,205446552.40341714,1432815.2576059878,885749.1663793258,,87685413.022416,11640.387176911105,,,2235697.9852178497,623767.01857699,2518962.143249352,,87685413.022416,2235697.9852178497,2518962.143249352,11640.387176911105,623767.01857699,
,12/03/2022,1647043200,7678735574.5328865,1534604.2855648745,,5756644263.52627,204759878.25945872,13641674320.60418,7678735574.5328865,1534604.2855648745,,,5755763015.994734,881247.5315357434,204759878.25945872,,7678735574.5328865,5755763015.994734,204759878.25945872,1534604.2855648745,881247.5315357434,,86501470.930865,12368.8585924468,,,2246081.2993134786,624998.2493161301,2527587.683736066,,86501470.930865,2246081.2993134786,2527587.683736066,12368.8585924468,624998.2493161301,
,13/03/2022,1647129600,7484454265.069678,1573470.4812449166,,5815991378.074339,210731793.50903684,13512750907.134298,7484454265.069678,1573470.4812449166,,,5815116380.525296,874997.549042582,210731793.50903684,,7484454265.069678,5815116380.525296,210731793.50903684,1573470.4812449166,874997.549042582,,86445533.207088,12680.074794463024,,,2262911.3262088904,624998.2493161301,2590433.847683305,,86445533.207088,2262911.3262088904,2590433.847683305,12680.074794463024,624998.2493161301,
,14/03/2022,1647216000,7545495799.467578,1594737.6719505256,,5704604675.9098015,205455299.40392008,13457150512.45325,7545495799.467578,1594737.6719505256,,,5703760928.273225,843747.6365767757,205455299.40392008,,7545495799.467578,5703760928.273225,205455299.40392008,1594737.6719505256,843747.6365767757,,86491240.25066,13603.49459993624,,,2268672.758188973,624998.2493161301,2610945.474697167,,86491240.25066,2268672.758188973,2610945.474697167,13603.49459993624,624998.2493161301,
,15/03/2022,1647302400,8041110351.442191,1655876.0942458387,,5978713059.338599,214727003.77156684,14236206290.646603,8041110351.442191,1655876.0942458387,,,5974423010.39312,4290048.945478938,214727003.77156684,,8041110351.442191,5974423010.39312,214727003.77156684,1655876.0942458387,4290048.945478938,,85380233.079658,13792.071416340485,,,2306833.9113754765,3131422.58794083,2656854.785592265,,85380233.079658,2306833.9113754765,2656854.785592265,13792.071416340485,3131422.58794083,
,16/03/2022,1647388800,7495534431.005008,1728790.589311628,,6575495899.120434,223671832.73621044,14296430953.450964,7495534431.005008,1728790.589311628,,,6571122757.741338,4373141.379095972,223671832.73621044,,7495534431.005008,6571122757.741338,223671832.73621044,1728790.589311628,4373141.379095972,,85390002.631636,13839.18179083916,,,2504572.926168253,3168943.0283304146,2698092.071606881,,85390002.631636,2504572.926168253,2698092.071606881,13839.18179083916,3168943.0283304146,
,17/03/2022,1647475200,7607412447.286699,1836291.4952157228,,7077978802.096739,238846247.06501356,14926073787.943668,7607412447.286699,1836291.4952157228,,,7073271468.128855,4707333.967884462,238846247.06501356,,7607412447.286699,7073271468.128855,238846247.06501356,1836291.4952157228,4707333.967884462,,85399780.503892,14065.809997822464,,,2556305.396162926,3224201.34786607,2733732.941112665,,85399780.503892,2556305.396162926,2733732.941112665,14065.809997822464,3224201.34786607,
,18/03/2022,1647561600,7255654449.9520035,1895133.00606875,,7242409985.104874,246278489.28960818,14746238057.352554,7255654449.9520035,1895133.00606875,,,7237709147.132407,4700837.972466111,246278489.28960818,,7255654449.9520035,7237709147.132407,246278489.28960818,1895133.00606875,4700837.972466111,,84358265.898756,14161.806950147587,,,2586235.424463528,3241957.2223904217,2806272.667383867,,84358265.898756,2586235.424463528,2806272.667383867,14161.806950147587,3241957.2223904217,
,19/03/2022,1647648000,7605189368.345198,2784138.5338371024,,7866635795.52847,272760844.1018669,15747370146.50937,7605189368.345198,2784138.5338371024,,,7861608440.974681,5027354.553788953,272760844.1018669,,7605189368.345198,7861608440.974681,272760844.1018669,2784138.5338371024,5027354.553788953,,85059717.798291,18422.14341187787,,,2647826.4112030263,3285852.649535264,2962537.678960214,,85059717.798291,2647826.4112030263,2962537.678960214,18422.14341187787,3285852.649535264,
,20/03/2022,1647734400,7754563930.495034,2696818.4560313206,,8028397663.903962,277333626.3691096,16062992039.224136,7754563930.495034,2696818.4560313206,,,8023314629.48658,5083034.417382374,277333626.3691096,,7754563930.495034,8023314629.48658,277333626.3691096,2696818.4560313206,5083034.417382374,,84721555.014695,18618.007980885886,,,2726014.402320769,3344101.590383141,3002420.984833924,,84721555.014695,2726014.402320769,3002420.984833924,18618.007980885886,3344101.590383141,
,21/03/2022,1647820800,7637853481.211085,3082195.6895171045,,7817854910.005722,274570905.62937206,15733361492.535698,7637853481.211085,3082195.6895171045,,,7812920416.474423,4934493.531299088,274570905.62937206,,7637853481.211085,7812920416.474423,274570905.62937206,3082195.6895171045,4934493.531299088,,84386846.549675,20513.781627401695,,,2732048.276052083,3356798.3206116245,3070575.996749855,,84386846.549675,2732048.276052083,3070575.996749855,20513.781627401695,3356798.3206116245,
,22/03/2022,1647907200,8101988544.613891,2982430.1384726935,,7931421593.368283,278108938.3651039,16314501506.485752,8101988544.613891,2982430.1384726935,,,7926475001.593269,4946591.775014109,278108938.3651039,,8101988544.613891,7926475001.593269,278108938.3651039,2982430.1384726935,4946591.775014109,,84422095.911367,19232.798984153567,,,2737732.5781682776,3365028.418376945,3132562.946216534,,84422095.911367,2737732.5781682776,3132562.946216534,19232.798984153567,3365028.418376945,
,23/03/2022,1647993600,7880316178.381138,3177076.109608094,,8184168055.857531,286787639.996702,16354448950.344978,7880316178.381138,3177076.109608094,,,8178835824.79247,5332231.065060957,286787639.996702,,7880316178.381138,8178835824.79247,286787639.996702,3177076.109608094,5332231.065060957,,84425928.63061,19956.508226181497,,,2749049.9049770497,3531278.8510337467,3170325.447675238,,84425928.63061,2749049.9049770497,3170325.447675238,19956.508226181497,3531278.8510337467,
,24/03/2022,1648080000,7793998737.326935,3300271.267196192,,8497916653.6020775,302327149.5319891,16597542811.728199,7793998737.326935,3300271.267196192,,,8492272102.46252,5644551.139558204,302327149.5319891,,7793998737.326935,8492272102.46252,302327149.5319891,3300271.267196192,5644551.139558204,,82345470.019302,20525.35149695996,,,2779621.595534981,3595255.502903315,3175705.352226776,,82345470.019302,2779621.595534981,3175705.352226776,20525.35149695996,3595255.502903315,
,25/03/2022,1648166400,7732312009.269097,3331853.72131233,,8655256594.397205,331220566.46815807,16722121023.855772,7732312009.269097,3331853.72131233,,,8649379969.566643,5876624.830562469,331220566.46815807,,7732312009.269097,8649379969.566643,331220566.46815807,3331853.72131233,5876624.830562469,,82381334.00031,20685.74980637195,,,2788422.5325742187,3627546.1917052274,3255878.958696137,,82381334.00031,2788422.5325742187,3255878.958696137,20685.74980637195,3627546.1917052274,
,26/03/2022,1648252800,7343606754.163829,2752617.2892465354,,8687283233.813673,316958666.8718275,16350601272.138575,7343606754.163829,2752617.2892465354,,,8681519013.685316,5764220.128356594,316958666.8718275,,7343606754.163829,8681519013.685316,316958666.8718275,2752617.2892465354,5764220.128356594,,82170826.386526,16523.304455528756,,,2802931.2671311516,3648240.5875674644,3234272.110937015,,82170826.386526,2802931.2671311516,3234272.110937015,16523.304455528756,3648240.5875674644,
,27/03/2022,1648339200,7450535492.3567705,2830067.1467956165,,8837780662.367569,334265471.68921274,16625411693.560347,7450535492.3567705,2830067.1467956165,,,8831825081.035992,5955581.3315779045,334265471.68921274,,7450535492.3567705,8831825081.035992,334265471.68921274,2830067.1467956165,5955581.3315779045,,81328845.020814,17152.961675226477,,,2810839.09315417,3699118.8394893813,3278719.683072219,,81328845.020814,2810839.09315417,3278719.683072219,17152.961675226477,3699118.8394893813,
,28/03/2022,1648425600,7656545454.101638,2986986.231452034,,9257910639.078777,350021556.68573916,17267464636.097607,7656545454.101638,2986986.231452034,,,9251577981.593304,6332657.485474439,350021556.68573916,,7656545454.101638,9251577981.593304,350021556.68573916,2986986.231452034,6332657.485474439,,81366051.584502,17181.399088018603,,,2818008.413470921,3747134.6067896094,3271535.252694076,,81366051.584502,2818008.413470921,3271535.252694076,17181.399088018603,3747134.6067896094,
,29/03/2022,1648512000,8078803022.714869,2877586.6681528445,,9544411560.046276,354890529.17881316,17980982698.608112,8078803022.714869,2877586.6681528445,,,9538072722.99999,6338837.04628629,354890529.17881316,,8078803022.714869,9538072722.99999,354890529.17881316,2877586.6681528445,6338837.04628629,,81431337.795735,16629.603953726564,,,2824823.4048665464,3750791.1516486923,3242193.761911321,,81431337.795735,2824823.4048665464,3242193.761911321,16629.603953726564,3750791.1516486923,
,30/03/2022,1648598400,8838917018.595465,2728149.4269222342,,9623717007.043135,364030309.3473475,18829392484.41287,8838917018.595465,2728149.4269222342,,,9616231479.196985,7485527.846149886,364030309.3473475,,8838917018.595465,9616231479.196985,364030309.3473475,2728149.4269222342,7485527.846149886,,81352204.496967,14914.440339614228,,,2835299.895682872,4482352.003682567,3261920.334653652,,81352204.496967,2835299.895682872,3261920.334653652,14914.440339614228,4482352.003682567,
,31/03/2022,1648684800,8708575863.283875,2835194.000917719,,9779547964.339794,391993722.3102377,18882952743.934826,8708575863.283875,2835194.000917719,,,9771935590.619125,7612373.720667875,391993722.3102377,,8708575863.283875,9771935590.619125,391993722.3102377,2835194.000917719,7612373.720667875,,82257257.611069,14998.645722465848,,,2887047.9623662382,4531174.833730878,3253059.936184545,,82257257.611069,2887047.9623662382,3253059.936184545,14998.645722465848,4531174.833730878,
,01/04/2022,1648771200,8560645017.457734,2817203.7584687,,9795394002.75561,407403938.66391927,18766260162.63573,8560645017.457734,2817203.7584687,,,9787992565.112373,7401437.643235808,407403938.66391927,,8560645017.457734,9787992565.112373,407403938.66391927,2817203.7584687,7401437.643235808,,82298067.847123,14618.876853659383,,,2963409.2448000647,4540759.290328717,3268645.20750898,,82298067.847123,2963409.2448000647,3268645.20750898,14618.876853659383,4540759.290328717,
,02/04/2022,1648857600,8668269862.637293,2779034.544230678,,10348167956.507326,441985963.60910225,19461202817.29795,8668269862.637293,2779034.544230678,,,10340690095.093271,7477861.4140557805,441985963.60910225,,8668269862.637293,10340690095.093271,441985963.60910225,2779034.544230678,7477861.4140557805,,82062575.619022,14667.411960894486,,,3000197.319468725,4424770.0674886275,3289320.262030976,,82062575.619022,3000197.319468725,3289320.262030976,14667.411960894486,4424770.0674886275,
,03/04/2022,1648944000,9516708576.704062,2957985.617569384,,10414828069.150599,432468919.96487874,20366963551.437107,9516708576.704062,2957985.617569384,,,10407446036.375849,7382032.774749899,432468919.96487874,,9516708576.704062,10407446036.375849,432468919.96487874,2957985.617569384,7382032.774749899,,82168093.392368,14733.205247643493,,,3019442.915732474,4447007.69563247,3269591.895100013,,82168093.392368,3019442.915732474,3269591.895100013,14733.205247643493,4447007.69563247,
,04/04/2022,1649030400,9223000716.254244,2956378.2949877605,,10654227953.036844,443736582.1339031,20323921629.71998,9223000716.254244,2956378.2949877605,,,10646744109.239494,7483843.797349636,443736582.1339031,,9223000716.254244,10646744109.239494,443736582.1339031,2956378.2949877605,7483843.797349636,,82106300.33165,14834.554142143412,,,3053092.483723186,4481343.5912273275,3279891.951614333,,82106300.33165,3053092.483723186,3279891.951614333,14834.554142143412,4481343.5912273275,
,05/04/2022,1649116800,9602040305.050161,2840183.0746816727,,10796533533.323414,433185629.5542612,20834599651.002518,9602040305.050161,2840183.0746816727,,,10789125619.160496,7407914.162917374,433185629.5542612,,9602040305.050161,10789125619.160496,433185629.5542612,2840183.0746816727,7407914.162917374,,82237412.684568,14905.967642918404,,,3069024.693331654,4517020.831047179,3307517.977813707,,82237412.684568,3069024.693331654,3307517.977813707,14905.967642918404,4517020.831047179,
,06/04/2022,1649203200,9661729424.434652,2573334.493359322,,10322768256.997524,417711338.7435415,20404782354.66908,9661729424.434652,2573334.493359322,,,10315609766.207327,7158490.790198123,417711338.7435415,,9661729424.434652,10315609766.207327,417711338.7435415,2573334.493359322,7158490.790198123,,82402809.590061,14678.766147734425,,,3101468.9439114765,4559548.274011543,3297113.732287801,,82402809.590061,3101468.9439114765,3297113.732287801,14678.766147734425,4559548.274011543,
,07/04/2022,1649289600,8925400632.530575,2584182.1860756404,,9949961061.036205,369463806.01146215,19247409681.76432,8925400632.530575,2584182.1860756404,,,9943214839.445251,6746221.590953398,369463806.01146215,,8925400632.530575,9943214839.445251,369463806.01146215,2584182.1860756404,6746221.590953398,,82619648.546983,14700.393572305822,,,3124704.1571039683,4620699.719831094,3312388.434745043,,82619648.546983,3124704.1571039683,3312388.434745043,14700.393572305822,4620699.719831094,
,08/04/2022,1649376000,8624115612.102148,2717582.5489863507,,10214644479.828318,399927315.81702256,19241404990.296474,8624115612.102148,2717582.5489863507,,,10207537392.661219,7107087.167099584,399927315.81702256,,8624115612.102148,10207537392.661219,399927315.81702256,2717582.5489863507,7107087.167099584,,82701530.610876,14828.300043576965,,,3150678.714565209,4706680.243112307,3318623.482009979,,82701530.610876,3150678.714565209,3318623.482009979,14828.300043576965,4706680.243112307,
