,Date,Timestamp,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido,Lido
,,,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking,Liquid Staking
,,,terra,moonriver,moonbeam,ethereum,solana,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total,terra,moonriver,moonbeam,ethereum,ethereum,ethereum,solana,Total,Total,Total,Total,Total,Total,Total
,,,TVL,TVL,TVL,TVL,TVL,TVL,Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens(USD),Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens,Tokens
,,,,,,,,,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot,terra-luna,kusama,polkadot,ethereum,WETH,MATIC,solana,ethereum,terra-luna,WETH,solana,kusama,MATIC,polkadot
,29/12/2020,1609200000,0,,,11344171.902470186,,11344171.902470186,,,,11344171.902470186,,,,11344171.902470186,,,,,,,,,,15567.58010823731,,,,15567.58010823731,,,,,,
,30/12/2020,1609286400,0,,,11765090.773599079,,11765090.773599079,,,,11765090.773599079,,,,11765090.773599079,,,,,,,,,,16044.54749684357,,,,16044.54749684357,,,,,,
,31/12/2020,1609372800,0,,,12119912.5203128,,12119912.5203128,,,,12119912.5203128,,,,12119912.5203128,,,,,,,,,,16633.527762043395,,,,16633.527762043395,,,,,,
,01/01/2021,1609459200,0,,,12582167.785034006,,12582167.785034006,,,,12582167.785034006,,,,12582167.785034006,,,,,,,,,,16824.47021146851,,,,16824.47021146851,,,,,,
,02/01/2021,1609545600,0,,,12543454.040580653,,12543454.040580653,,,,12543454.040580653,,,,12543454.040580653,,,,,,,,,,16923.348669911327,,,,16923.348669911327,,,,,,
,03/01/2021,1609632000,0,,,12514881.979053903,,12514881.979053903,,,,12514881.979053903,,,,12514881.979053903,,,,,,,,,,17125.174539982414,,,,17125.174539982414,,,,,,
,04/01/2021,1609718400,0,,,14195762.010329973,,14195762.010329973,,,,14195762.010329973,,,,14195762.010329973,,,,,,,,,,17162.612041320765,,,,17162.612041320765,,,,,,
,05/01/2021,1609804800,0,,,16274684.16131069,,16274684.16131069,,,,16274684.16131069,,,,16274684.16131069,,,,,,,,,,17309.39774172614,,,,17309.39774172614,,,,,,
,06/01/2021,1609891200,0,,,18325628.49594711,,18325628.49594711,,,,18325628.49594711,,,,18325628.49594711,,,,,,,,,,17805.13984116194,,,,17805.13984116194,,,,,,
,07/01/2021,1609977600,0,,,20965573.74738898,,20965573.74738898,,,,20965573.74738898,,,,20965573.74738898,,,,,,,,,,18319.33262657468,,,,18319.33262657468,,,,,,
,08/01/2021,1610064000,0,,,22570112.840209346,,22570112.840209346,,,,22570112.840209346,,,,22570112.840209346,,,,,,,,,,18902.86352624114,,,,18902.86352624114,,,,,,
,09/01/2021,1610150400,0,,,25529569.341459043,,25529569.341459043,,,,25529569.341459043,,,,25529569.341459043,,,,,,,,,,20288.608579128748,,,,20288.608579128748,,,,,,
