Date,Lido.5,market_cap
6/26/2021,1362958264,42092778.65
6/27/2021,1470769605,41067041.89
6/28/2021,1549607365,45693089.41
6/29/2021,1662588944,47945368.49
6/30/2021,1761252204,49211842.01
7/1/2021,1685989223,47729297.12
7/2/2021,1701313201,44716068.6
7/3/2021,1749590141,43750499.3
7/4/2021,1854074210,45556464.51
7/5/2021,1793950756,48861584.81
7/6/2021,1888267835,45354972.98
7/7/2021,1958433590,56275576.28
7/8/2021,1826406342,60306742.93
7/9/2021,2002138706,55693871.95
7/10/2021,1966707981,56602637.51
7/11/2021,2022730895,55661531.48
7/12/2021,1918614791,54544486.91
7/13/2021,1792056068,50261241.12
7/14/2021,1825763965,46158943.39
7/15/2021,1747645009,45041379.31
7/16/2021,1728128921,45249690.49
7/17/2021,1740624542,42751688.16
7/18/2021,1753093990,41691837.92
7/19/2021,1663784850,42262028.98
7/20/2021,1645473781,39002618.94
7/21/2021,1850988653,39976877.84
7/22/2021,1939523761,51693354.27
7/23/2021,2035767625,52753433.39
7/24/2021,2139815993,53842078.93
7/25/2021,2126988568,52338378.95
7/26/2021,2173665700,52890034.17
7/27/2021,2300562301,53934757.85
7/28/2021,2441145596,53980980.03
7/29/2021,2508336162,54664616.48
7/30/2021,2568334467,61242762.1
7/31/2021,2626538659,74040418.9
8/1/2021,2735696256,100023435
8/2/2021,2832032722,109539410.9
8/3/2021,3002418511,106016370.1
8/4/2021,3176112820,101452041.9
8/5/2021,3263181988,127226777.4
8/6/2021,3271814230,144847330.7
8/7/2021,3492560357,140733959.9
8/8/2021,3317557378,144729144.8
8/9/2021,3469187210,128009914.3
8/10/2021,3660679481,142737057.9
8/11/2021,3653403831,139386915.9
8/12/2021,3575639973,136441040.6
8/13/2021,3904332966,123665947.8
8/14/2021,3882854658,139891014.2
8/15/2021,4051159509,140910462.6
8/16/2021,4190399678,138404665.5
8/17/2021,4340858072,122911172.8
8/18/2021,4853648539,106598743.7
8/19/2021,4753885994,148428592.7
8/20/2021,5013284058,162443355.8
8/21/2021,4879643527,179718570.2
8/22/2021,4904055359,176951618.4
8/23/2021,5231930366,231766575.8
8/24/2021,5162294314,249500381.7
8/25/2021,5124227488,226852910.2
8/26/2021,4924940984,248077423.2
8/27/2021,5523443744,230404263.9
8/29/2021,5656464375,245871799.6
8/30/2021,5899530758,244300989
8/31/2021,5770642098,209400238.6
9/1/2021,5967246630,214125504.9
9/2/2021,6141396398,228111415.8
9/3/2021,6454292477,218759241.5
9/4/2021,6742750815,238504288.3
9/5/2021,6630580934,217941973.8
9/6/2021,6718506678,214706049.5
9/7/2021,6752957164,205620597.9
9/8/2021,6568618389,190012821.2
9/9/2021,5919403665,224705751
9/10/2021,6208354932,248750376
9/11/2021,6645207112,272175872.9
9/12/2021,6718671012,289772334.8
9/13/2021,6941483272,275509562.9
9/14/2021,6374544618,264344061.4
9/15/2021,6923769845,280256524.9
9/16/2021,6946000905,253553163.4
9/17/2021,6611530448,284737094
9/18/2021,6734812965,279303346.5
9/19/2021,6479019178,288149946.1
9/20/2021,5777649005,287666747.9
9/21/2021,5278958198,246747736.4
9/22/2021,6240080016,229726561.2
9/23/2021,6570413025,271741328
9/24/2021,6337195299,259365909.9
9/25/2021,6429449333,250682021.6
9/26/2021,6327258529,245638942.8
9/27/2021,6337936369,262503295.6
9/28/2021,5908492626,236287203.7
9/29/2021,6063285056,239090886.3
9/30/2021,6571715805,235202532.2
10/1/2021,6979156442,251503780.5
10/2/2021,7407825479,270497025.3
10/3/2021,7416941679,261633236.6
10/4/2021,7622825584,243444692.7
10/5/2021,7713144065,215763593.7
10/6/2021,7804666313,221214725.5
10/7/2021,7705582542,215377553.8
10/8/2021,8217360160,215226849.9
10/9/2021,7957443411,221046153
10/10/2021,7960060420,218074103.8
10/11/2021,7577219951,212986716.5
10/12/2021,7478291868,209056343.5
10/13/2021,7495010603,195952050.7
10/14/2021,7675547003,206304769
10/15/2021,7910686086,229162451.9
10/16/2021,8100694776,225098221.5
10/17/2021,8007667987,208838214.4
10/18/2021,8129356712,201926594
10/19/2021,7842359209,191679596.8
10/20/2021,8162518114,190675488.2
10/21/2021,9055902381,212541124.1
10/22/2021,8888982254,200422457.2
10/23/2021,8844943591,198078321.9
10/24/2021,9089202133,204061226.6
10/25/2021,8972859743,195735455
10/26/2021,9342398995,183899087.5
10/27/2021,9188670052,199022054.9
10/28/2021,8657078760,180232522.9
10/29/2021,9444475952,195243332.3
10/30/2021,9585148452,199230418.8
10/31/2021,9469184596,192890534.8
11/1/2021,9375709688,183595766.2
11/2/2021,9486550622,178161627.1
11/3/2021,9915548998,166143984
11/4/2021,10179222731,159985732.8
11/5/2021,10382174346,156479665.6
11/6/2021,10203010929,195752847.5
11/7/2021,10369774633,240328297.9
11/8/2021,10530148495,248714265.1
11/9/2021,10951468100,252700390.2
11/10/2021,10616397605,241664647.1
11/11/2021,10304650579,257150584.3
11/12/2021,10641286377,255958889.3
11/13/2021,10525843802,268453029.5
11/14/2021,10627295728,333663629.2
11/15/2021,10651656763,323147315.8
11/16/2021,10125304470,259732904.3
11/17/2021,9383475430,235584083.3
11/18/2021,9666775605,230617195.6
11/19/2021,9076356852,233703867.1
11/20/2021,9592116207,300578137.4
11/21/2021,9862294011,294438513.6
11/22/2021,9283906525,262808060.7
11/23/2021,9220307508,232103978.9
11/24/2021,9642353395,223542078.1
11/25/2021,9339757722,219927869.3
11/26/2021,9991469991,235001522.4
11/27/2021,9222087074,223187347
11/28/2021,9307649600,210266839
11/29/2021,10204315972,239052188.9
11/30/2021,10413358619,267589790.3
12/1/2021,11273831764,262124367.7
12/2/2021,11448965409,237178464.6
12/3/2021,11626412048,214034996.8
12/4/2021,11099651717,200651685.6
12/5/2021,11619913724,188271601
12/6/2021,10914463410,247800506.8
12/7/2021,11428110930,228308517.5
12/8/2021,11619886093,217879192.3
12/9/2021,11972919270,227155265
12/10/2021,11089075362,195726027.2
12/11/2021,10345441624,206740608.4
12/12/2021,10392077193,194319261.7
12/13/2021,10728809967,199142706.8
12/14/2021,9752769276,161672262.5
12/15/2021,10150240944,190464270.7
12/16/2021,10634887344,195948839.3
12/17/2021,10651566200,226200699.8
12/18/2021,10606900418,208095670.2
12/19/2021,11185297212,198020853.4
12/20/2021,11507191791,186596938.9
12/21/2021,11838478074,186936939.4
12/22/2021,12496661072,195338594.3
12/23/2021,12240062543,201900905.7
12/24/2021,12997599933,198346408.2
12/25/2021,13103609652,187150283.9
12/26/2021,13257830672,188155457.4
12/27/2021,13234517381,176647854.4
12/28/2021,12663980502,190138600.2
12/29/2021,11987365373,195863384.9
12/30/2021,11623215488,174347674.6
12/31/2021,11742907288,195691282
1/1/2022,11929641643,205905454
1/2/2022,12467491871,247262309.4
1/3/2022,12491296643,244601586.5
1/4/2022,12316385858,220589011.9
1/5/2022,12235291134,221113678.3
1/6/2022,11363306915,213405602.6
1/7/2022,10986528320,196277235
1/8/2022,10240149691,185954141.9
1/9/2022,9873245948,189259746.1
1/10/2022,10356055899,209272831.7
1/11/2022,9938852312,192229453.9
1/12/2022,10570306751,211259722.6
1/13/2022,11347188541,206961649.3
1/14/2022,10964995451,191593866.8
1/15/2022,11200072240,182990608.4
1/16/2022,11625822458,180155963.5
1/17/2022,11641630132,178464740.3
1/18/2022,10946148992,156819787.3
1/19/2022,10951566496,170984877
1/20/2022,10890076482,161646526.3
1/21/2022,10612924409,166067039.1
1/22/2022,8918160781,144776454.5
1/23/2022,8792983908,128250653.8
1/24/2022,9193162774,128806429.6
1/25/2022,8768612209,125938951.4
1/26/2022,8721859540,135066499.3
1/27/2022,8955346516,130258846.2
1/28/2022,8057361162,128494901.4
1/29/2022,8114759697,136104804
1/30/2022,8154307092,134329827.9
1/31/2022,7741523021,145981089.8
2/1/2022,8352196700,163392678.9
2/2/2022,8626655568,166595872.3
2/3/2022,8137376341,195212313
2/4/2022,8343472392,179926900.6
2/5/2022,9062155476,186786716.3
2/6/2022,9355503469,188641693.3
2/7/2022,9425857704,191469809.4
2/8/2022,9849093653,208044695.6
2/9/2022,9684040171,202287670.5
2/10/2022,9867501785,192371710.4
2/11/2022,9323790421,166319798.5
2/12/2022,8869054241,155316392.7
2/13/2022,8908597058,158114935.2
2/14/2022,8868500072,145028911.8
2/15/2022,9109277367,150171371.5
2/16/2022,9764632046,173090371.7
2/17/2022,10776992707,181972966.1
2/18/2022,9849181388,161771586.8
2/19/2022,9635770088,153045182.1
2/20/2022,9568527336,148960227.8
2/21/2022,9284020360,132996193.2
2/22/2022,9176455049,137003884
2/23/2022,9579482020,171998159.5
2/24/2022,10183384770,155024640.9
2/25/2022,10570784657,149747272.5
2/26/2022,11549488245,167272186.3
2/27/2022,12085656238,166183149.9
2/28/2022,11178505823,167251659.7
3/1/2022,13825763847,194542916.1
3/2/2022,13946529494,215443918.4
3/3/2022,14035992619,214531449.3
3/4/2022,13556692075,223214779.3
3/5/2022,12480064598,232852777.8
3/6/2022,13033542657,238230444.8
3/7/2022,12120705189,215816483.4
3/8/2022,12179712553,211653410
3/9/2022,13490907050,208244599.8
3/10/2022,14963489374,257951960.3
3/11/2022,14337221103,248714991.7
3/12/2022,13641674321,243343442.4
3/13/2022,13512750907,263039737.5
3/14/2022,13457150512,266908040.8
3/15/2022,14236206291,252289291.8
3/16/2022,14296430953,294736088.2
3/17/2022,14926073788,345085817.9
3/18/2022,14746238057,314086201.5
3/19/2022,15747370147,354947578.7
3/20/2022,16062992039,399774283
3/21/2022,15733361493,340799370.3
3/22/2022,16314501506,390257706.7
3/23/2022,16354448950,412744050.5
3/24/2022,16597542812,572304189.1
3/25/2022,16722121024,596215604.3
3/26/2022,16350601272,571563550.9
3/27/2022,16625411694,536877402.1
3/28/2022,17267464636,592090296.9
3/29/2022,17980982699,627871773
3/30/2022,18829392484,1128109710
3/31/2022,18882952744,1111900361
4/1/2022,18766260163,1070540455
4/2/2022,19461202817,1231256586
4/3/2022,20366963551,1279023987
4/4/2022,20323921630,1402663986
4/5/2022,20834599651,1441417350
4/6/2022,20404782355,1315479230
4/7/2022,19247409682,1101500691
4/8/2022,19241404990,1118160306
4/9/2022,18508106396,1004103726
4/10/2022,18855775493,1040023712
4/11/2022,18489885366,1044604844
4/12/2022,17057217093,858887674.7
4/13/2022,17244116894,851715720.3
4/14/2022,18020403754,980758576.2
4/15/2022,17220771341,844218861
4/16/2022,17344732324,888449241.7
4/17/2022,17489537674,895891422.7
4/18/2022,17038773732,830708652.3
4/19/2022,18541770156,877374642.9
4/20/2022,18937764938,887542451.9
4/21/2022,19006589703,872032445.7
4/22/2022,18337634425,829879793.8
4/23/2022,18644919568,844681350.3
4/24/2022,18257074794,862173725.1
4/25/2022,17960566118,948434310.4
4/26/2022,19336725141,1027483562
4/27/2022,18037373061,932651309.7
4/28/2022,18561743212,1016916939
4/29/2022,18736501193,1144322448
4/30/2022,18112355455,1005515798
5/1/2022,17603473302,930745257.1
5/2/2022,18174952116,932647224.5
5/3/2022,18660027955,908843816
5/4/2022,18347590202,901307754
5/5/2022,19390293831,1017410482
5/6/2022,18410137617,928524433.8
5/7/2022,17882792426,926159094.6
5/8/2022,16633736902,914441763.5
5/9/2022,16061352956,947842742.5
5/10/2022,12333464845,685615878.8
5/11/2022,11595676250,660044301.2
5/12/2022,9244719850,532564966.2
5/13/2022,8387947914,494528614.7
5/14/2022,8675786007,518126888
5/15/2022,8770075828,515213989.2
5/16/2022,9065756552,524778973.7
5/17/2022,8756006521,512633208.5
5/18/2022,8954138495,548424210.5
5/19/2022,8269482693,496495233
5/20/2022,8586515306,517421021.1
5/21/2022,8336123918,486782579.7
5/22/2022,8450807298,496858563.3
5/23/2022,8723384540,496175840.3
5/24/2022,8489747535,442133714.4
5/25/2022,8435880884,414255573.4
5/26/2022,8372244522,412752030.1
5/27/2022,7626610156,384890475.2
5/28/2022,7396396879,410995710.4
5/29/2022,7655743616,396923765.8
5/30/2022,7722267485,451582147.5
5/31/2022,8503163677,474914582.5
6/1/2022,8328413791,412936947.7
6/2/2022,7816033677,406639399.8
6/3/2022,7825744721,406572576.6
6/4/2022,7573441179,399654253.3
6/5/2022,7708021984,407784610.2
6/6/2022,7717543080,416377496
6/7/2022,7525619669,431263745.9
6/8/2022,7762697038,433093261.2
6/9/2022,7659488944,414712844.4
6/10/2022,7611214821,423405391.3
6/11/2022,7183613870,415755003.5
6/12/2022,6556186723,353348939.9
6/13/2022,6059700637,337436663.3
6/14/2022,5146394960,250711876
6/15/2022,5150083486,264577855
6/16/2022,5273903360,263503187.6
6/17/2022,4569780460,228780493.3
6/18/2022,4688303994,250202701.2
6/19/2022,4273604850,199873556
6/20/2022,4695024018,224394135.1
6/21/2022,4815495582,222976958.6
6/22/2022,4796390173,238223856.3
6/23/2022,4624109087,226297940.6
6/24/2022,4914782963,241951039.9
6/25/2022,5247660857,286044628.1
6/26/2022,5336156445,288561495.8
6/27/2022,5172116611,277899451.4
6/28/2022,5083594154,259818170.2
6/29/2022,4935169567,236495267.6
6/30/2022,4712977382,228379904.9
7/1/2022,4763831876,201848447.4
7/2/2022,4582057974,210251480.7
7/3/2022,4581471449,214584877.2
7/4/2022,4624675259,232787544.3
7/5/2022,4984983056,253616718.7
7/6/2022,4974559493,265866571.8
7/7/2022,5133736449,290713798.1
7/8/2022,5344081527,317610881.1
7/9/2022,5250407032,354369162.6
7/10/2022,5250360557,326867078.5
7/11/2022,5061484196,308316533.7
7/12/2022,4746412145,301580545
7/13/2022,4517909382,310316374.6
7/14/2022,4813719763,458671834.4
7/15/2022,5145157261,441400762.1
7/16/2022,5287333313,572764077.4
7/17/2022,5897920265,683346535.9
7/18/2022,5848335028,785853937.5
7/19/2022,6818774574,754916033.7
7/20/2022,6678884086,750134883.9
7/21/2022,6612586502,796684875
7/22/2022,6765439729,815536833.1
7/23/2022,6951636984,768959102.3
7/24/2022,6809638843,810331733.6
7/25/2022,6815380955,851670224.8
7/26/2022,6333162244,756823688.9
7/27/2022,6270641476,728973792.5
7/28/2022,7036221469,991431532
7/29/2022,7514351432,1140593442
7/30/2022,7519984075,1304261104
7/31/2022,7421914302,1225053586
8/1/2022,7332208984,1139584783
8/2/2022,7166254107,1099505796
8/3/2022,6967295710,1226158617
8/4/2022,7164465655,1376186027
8/5/2022,7042199984,1280084791
8/6/2022,7597604210,1401797170
8/7/2022,7353034059,1399523880
8/8/2022,7462437135,1329303083
8/9/2022,7778249086,1286130944
8/10/2022,7320949329,1236308413
8/11/2022,8216727289,1475066082
8/12/2022,8281475110,1440257203
8/13/2022,8575456826,1539788031
8/14/2022,8743865696,1618722455
8/15/2022,8574273210,1479799686
8/16/2022,8332835790,1524162287
8/17/2022,8346242557,1441299633
8/18/2022,8124104533,1392006886
8/19/2022,8026214615,1266764268
8/20/2022,7177379844,1074277543
8/21/2022,6953288174,1074059063
8/22/2022,7107710811,1270673575
8/23/2022,7136494471,1254828734
8/24/2022,7221021241,1253679204
8/25/2022,7355750574,1270584462
8/26/2022,7412282387,1159077426
8/27/2022,6656172161,1009128213
8/28/2022,6602312336,949025322.9
8/29/2022,6321823604,943618753.2
8/30/2022,6800958643,1113274324
8/31/2022,6826349841,1054972972
9/1/2022,6788495389,1166442540
9/2/2022,6956941902,1240234704
9/3/2022,6964664593,1303628924
9/4/2022,6890989682,1198819199
9/5/2022,6960908358,1244169327
9/6/2022,7307764880,1231639401
9/7/2022,6779710273,1139263016
9/8/2022,7174881005,1190468394
9/9/2022,7246058695,1146766819
9/10/2022,7577008328,1261480194
9/11/2022,7836801192,1302231661
9/12/2022,7723269787,1285295837
9/13/2022,7600990362,1228890268
9/14/2022,6962239660,1133037168
9/15/2022,7241352892,1131143749
9/16/2022,6543087897,1062611420
9/17/2022,6407712565,1108375808
9/18/2022,6464727999,1197014953
9/19/2022,5988159358,1069223543
9/20/2022,6100922345,1150914022
9/21/2022,5967551614,1135697975
9/22/2022,5570634133,1160722583
9/23/2022,5954843556,1152492773
9/24/2022,5926674374,1132150736
9/25/2022,5938835080,1080886997
9/26/2022,5875016867,1015411279
9/27/2022,6077935159,1052401758
9/28/2022,6068803098,1038743096
9/29/2022,6050701284,1056083040
9/30/2022,6054258477,1039612926
10/1/2022,6028799813,1034389539
