snapped_at,price,market_cap,total_volume
2021-01-05,1.75089148322007,5193325.774885025,12582828.723461317
2021-01-06,1.75089148322007,5193325.774885025,12582828.723461317
2021-01-07,1.760410764195416,5667691.609360571,6423586.093912635
2021-01-08,1.4268089462876623,4586996.157827637,2079384.121384696
2021-01-09,1.4954029529966588,4803312.257938731,1086874.8490877978
2021-01-10,0.8449578022117108,2728719.816341152,1119290.0976459014
2021-01-11,0.995485091648004,3216775.302110387,566395.6703483281
2021-01-12,0.8931611137747189,2865817.823184506,159321.0071216152
2021-01-13,0.8301781766246654,2659361.2625465486,161473.64724186447
2021-01-14,1.0553663466719931,3367904.432519941,313532.6102690141
2021-01-15,1.0768876729111154,3418068.7848715847,596906.0317340387
2021-01-16,0.9534565988748788,3061676.4003600613,128644.3747470737
2021-01-17,0.883514836213585,2855813.41881406,172983.08504657654
2021-01-18,0.7758471836119105,6889235.632986919,145481.87613947096
2021-01-19,0.7911409302806837,6954148.213200837,307001.0958724403
2021-01-20,0.8712443792667584,7679713.0220706,206887.8621215557
2021-01-21,0.7817382190424823,6914900.994510031,171677.64718389115
2021-01-22,0.6130627574719494,5492554.314058194,142237.16586283132
2021-01-23,0.6333900167603377,5591096.061756206,134417.25562757792
2021-01-24,0.7741540728322476,6848073.871231097,895644.9456444817
2021-01-25,1.3753355706578116,12162866.209006058,3032187.2670182474
2021-01-26,1.0524495979604154,9344765.823503695,401782.5704384214
2021-01-27,1.8836674302456613,16672800.3023407,5832696.37363441
2021-01-28,1.546068364833213,13629666.736110166,339189.3536282685
2021-01-29,1.3830256108375576,12315638.104627768,1001428.6648648652
2021-01-30,1.42990335755256,12688985.860507652,524309.992507723
2021-01-31,1.385560149924273,12274278.534617355,480699.6823854356
2021-02-01,1.9587660024848592,17579716.31118049,2285058.902080756
2021-02-02,2.96882437664908,26355834.941170327,4963666.324185459
2021-02-03,2.852302110976038,25648561.90081328,4380157.478139101
2021-02-04,3.076674233511815,27257705.691575836,2466434.734418689
2021-02-05,2.633830339309859,24113035.00269735,2262744.874722585
2021-02-06,2.932002345853758,26127684.173541658,2918531.5246228785
2021-02-07,2.646937050305972,23558542.72840129,2110569.019159183
2021-02-08,2.515793923992089,22346925.648477014,1766515.3902838938
2021-02-09,2.6832270216162195,23713914.70721722,2060486.620499557
2021-02-10,2.5213273382504267,22316138.56934493,1589810.9117871493
2021-02-11,2.163041604544737,19454759.24405055,1059016.3968504455
2021-02-12,2.270908303263686,31277276.870073788,1368718.8382237745
2021-02-13,2.3401255360700444,32401022.57829829,2380373.578306456
2021-02-14,2.5336326563596177,34112061.05625659,1899792.0154048805
2021-02-15,2.4731551213767786,34390632.03513136,1503723.9390764115
2021-02-16,2.563918632092248,35684874.82995737,1843761.4895634768
2021-02-17,2.64991444507611,36809712.63309075,1863848.756944802
2021-02-18,2.187560514247354,30420169.28026765,2080025.835634324
2021-02-19,2.1370976589630013,29408699.10761249,1706223.8715463355
2021-02-20,1.7386447788555577,24133677.52531473,1765872.8269648247
2021-02-21,1.5641178695885547,21329626.056832828,1160381.1881330924
2021-02-22,1.5451953966049212,21487987.109922364,742794.221794314
2021-02-23,1.417783906123676,19677117.78658416,428918.6951822509
2021-02-24,1.0895850407066754,15103003.214490984,858535.240675524
2021-02-25,1.0544914263966274,14604686.401634237,492837.3562930683
2021-02-26,0.977668600784581,13690033.660992114,449038.2759549688
2021-02-27,0.939388947722218,13042412.286170175,507089.03697553417
2021-02-28,0.9245695224848478,12854253.403150711,331750.9962634783
2021-03-01,0.8341636638962856,11617309.18251495,554428.5439309564
2021-03-02,0.8494478711485967,11811847.715804234,796485.9809476839
2021-03-03,0.8796447432398027,12242565.719102226,1246867.5723436452
2021-03-04,0.8367820349110522,11853675.114342498,1119721.1744203125
2021-03-05,0.6879900075019546,9733794.81385422,910100.4519160832
2021-03-06,0.7836116588621941,11017868.610404452,994515.3390882268
2021-03-07,0.8010605383991203,11386037.09193274,425288.0034015285
2021-03-08,0.7194632041490765,10165413.669137046,651561.3791625061
2021-03-09,0.771764291342852,10995633.053791652,451253.5386209302
2021-03-10,0.7790436640711712,11081128.049763989,316089.02980054053
2021-03-11,0.6893719638714401,9828673.839455511,362664.5334475341
2021-03-12,0.6680897050825549,12878093.067837302,170799.17196070155
2021-03-13,0.6230841256054431,12002900.299214734,270303.72398296726
2021-03-14,0.6393839791271736,12316440.050956829,131918.96403970767
2021-03-15,0.6100051772059166,11750630.006793303,186674.7332272353
2021-03-16,0.5986122594124238,11531046.512322271,286067.6683669786
2021-03-17,0.6553483567301213,12605473.69241034,277005.2695410605
2021-03-18,0.6539247924069478,12644920.07594477,350114.27726940264
2021-03-19,0.6101526562428463,11752894.972724175,231181.3048832797
2021-03-20,0.6006910210855011,11459666.01173656,259884.51483264475
2021-03-21,0.624979618235202,12039055.748894012,231046.6916254901
2021-03-22,0.5726646732496947,10826825.17033116,239130.7248177753
2021-03-23,0.5406734064388318,10435175.353167811,315340.7766266471
2021-03-24,0.5771230990435655,11392582.720645782,497388.6504252818
2021-03-25,0.5649009967479055,11194695.043365812,365656.93228202907
2021-03-26,0.5537476933254287,10928169.499812491,292081.35602459696
2021-03-27,0.5473097627592577,10779604.361016754,373556.0413844192
2021-03-28,0.6620767637993931,13077524.39586327,1069382.1890875257
2021-03-29,0.6440150535657706,12793547.828376712,271804.3057708069
2021-03-30,0.6553918618050747,12946647.615119625,174405.32187125
2021-03-31,0.9617128372436596,18980215.187324844,1654913.567914721
2021-04-01,1.1412699008353815,22549386.09622692,1513954.5648763347
