Date,Stader-TVL-total,market_cap
2022-05-31,52739288.64,6275126.123522106
2022-06-01,51737154.25,6472068.395186369
2022-06-02,49152586.13,6306645.30698377
2022-06-03,50328886.43,6238534.94116862
2022-06-04,48856918.85,6037772.34179321
2022-06-05,52678324.09,6259773.659864682
2022-06-06,53113889.4,6352002.260405761
2022-06-07,63642295.08,6557507.523393187
2022-06-08,60715500.67,6758827.446103083
2022-06-09,58975388.08,5913661.867425915
2022-06-10,59738848.68,5833391.90520857
2022-06-11,57034064.33,5348464.807792029
2022-06-12,54037547.7,4919836.877101923
2022-06-13,48299627.02,4909449.129153254
2022-06-14,46020153.88,4576673.279917595
2022-06-15,46454313.39,4475421.486040958
2022-06-16,49858144.07,4376242.156779363
2022-06-17,45746514.22,4293971.2098225765
2022-06-18,48004408.79,3878830.669596468
2022-06-19,43279170.64,3395058.2761637
2022-06-20,45855473.79,3313547.853474732
2022-06-21,49118588.83,3170703.725170072
2022-06-22,53042909.78,3301167.1148192943
2022-06-23,51389749.12,3231861.2095820447
2022-06-24,53655008.02,3285249.456724127
2022-06-25,54878786.07,3296897.0688980096
2022-06-26,54831397.03,3322009.0120375147
2022-06-27,51532169.61,3402771.0664778235
2022-06-28,52768630.6,3647847.073595608
2022-06-29,49970785.85,3507021.245343948
2022-06-30,48261261.07,4534762.987781781
2022-07-01,47498759.64,5080364.085829797
2022-07-02,46502915.14,3992104.392084332
2022-07-03,47900998.11,3738387.766518388
2022-07-04,46772996.9,3595410.0062300176
2022-07-05,48483751.73,3494152.0254303734
2022-07-06,47622465.69,3463441.828074696
2022-07-07,48450327.08,3530426.6506483373
2022-07-08,50888178.36,3549937.0050449544
2022-07-09,52784631.74,3515067.2106099306
2022-07-10,55060474.05,3523914.5760926115
2022-07-11,52399844.26,3260438.968431331
2022-07-12,49508723.74,3051219.7581550186
2022-07-13,49969551.03,3001747.706775704
2022-07-14,53445716.94,3046625.727935001
2022-07-15,53956387.86,3071360.697079648
2022-07-16,53614593.49,3056995.104370419
2022-07-17,54581659.63,3003831.811062254
2022-07-18,55440073.48,3110099.437435414
2022-07-19,61822058.95,3083628.498057061
2022-07-20,63831732.12,3205222.7120623947
2022-07-21,59836512.4,3126733.8148957305
2022-07-22,62785033.6,3287167.3384151994
2022-07-23,61205414.59,3281435.8648590096
2022-07-24,60984117.14,3161306.507851362
2022-07-25,63074273.74,3273756.369400194
2022-07-26,56956079.55,3210296.606074198
2022-07-27,56295203.85,3149034.601696288
2022-07-28,61167212.21,3174163.3871502206
2022-07-29,63012298.64,3209396.5351067786
2022-07-30,63784564.25,3254849.473912477
2022-07-31,64859748.27,3172886.725341239
2022-08-01,66934917.72,3155266.5729251606
2022-08-02,68329345.56,3315041.0289322305
2022-08-03,63690962.93,3387464.1844070624
2022-08-04,66097611,4222117.864344646
2022-08-05,66719045.41,4729051.596157898
2022-08-06,69724067.6,5912623.835275123
2022-08-07,75158248.22,4880901.490144119
2022-08-08,76373004.68,4808968.429209051
2022-08-09,78800986.25,4744811.31129562
2022-08-10,74496022.63,5105955.930715741
2022-08-11,86045618.28,4795954.8389145415
2022-08-12,86276611.31,4697035.197869099
2022-08-13,89050499.81,4983694.862013609
2022-08-14,92052290.87,4745532.609428476
2022-08-15,90238901.23,4402424.141831141
2022-08-16,97522444.8,4004123.748249566
2022-08-17,97364849.61,3595912.074666309
2022-08-18,91203712.42,3492594.908690658
2022-08-19,85420899.79,3484395.794241883
2022-08-20,77043102.36,3072663.161315769
2022-08-21,78751999.69,3155531.7931184005
2022-08-22,81307218.2,3245702.895266209
2022-08-23,78697023.51,3199130.694203683
2022-08-24,78863485.54,3661520.5930494233
2022-08-25,80486319.83,3558544.563014153
2022-08-26,81250602.23,3407175.927492369
2022-08-27,74942923.19,3058019.299479326
2022-08-28,75946770.42,3013148.892751016
2022-08-29,74830660.44,2934932.183303881
